;Vviento00;Vviento01;Vviento02;Vviento03;Vviento04;Vviento05;Vviento06;Vviento07;Vviento08;Vviento09;Vviento10;Vviento11;Vviento12;Vviento13;Vviento14;Vviento15;Vviento16;Vviento17;Vviento18;Vviento19;Vviento20;Vviento21;Vviento22;Vviento23;AlturaOlas00;AlturaOlas01;AlturaOlas02;AlturaOlas03;AlturaOlas04;AlturaOlas05;AlturaOlas06;AlturaOlas07;AlturaOlas08;AlturaOlas09;AlturaOlas10;AlturaOlas11;AlturaOlas12;AlturaOlas13;AlturaOlas14;AlturaOlas15;AlturaOlas16;AlturaOlas17;AlturaOlas18;AlturaOlas19;AlturaOlas20;AlturaOlas21;AlturaOlas22;AlturaOlas23;PeriodoOlas00;PeriodoOlas01;PeriodoOlas02;PeriodoOlas03;PeriodoOlas04;PeriodoOlas05;PeriodoOlas06;PeriodoOlas07;PeriodoOlas08;PeriodoOlas09;PeriodoOlas10;PeriodoOlas11;PeriodoOlas12;PeriodoOlas13;PeriodoOlas14;PeriodoOlas15;PeriodoOlas16;PeriodoOlas17;PeriodoOlas18;PeriodoOlas19;PeriodoOlas20;PeriodoOlas21;PeriodoOlas22;PeriodoOlas23;Temperatura00;Temperatura01;Temperatura02;Temperatura03;Temperatura04;Temperatura05;Temperatura06;Temperatura07;Temperatura08;Temperatura09;Temperatura10;Temperatura11;Temperatura12;Temperatura13;Temperatura14;Temperatura15;Temperatura16;Temperatura17;Temperatura18;Temperatura19;Temperatura20;Temperatura21;Temperatura22;Temperatura23;Lluvia00;Lluvia01;Lluvia02;Lluvia03;Lluvia04;Lluvia05;Lluvia06;Lluvia07;Lluvia08;Lluvia09;Lluvia10;Lluvia11;Lluvia12;Lluvia13;Lluvia14;Lluvia15;Lluvia16;Lluvia17;Lluvia18;Lluvia19;Lluvia20;Lluvia21;Lluvia22;Lluvia23;Nubosidad00;Nubosidad01;Nubosidad02;Nubosidad03;Nubosidad04;Nubosidad05;Nubosidad06;Nubosidad07;Nubosidad08;Nubosidad09;Nubosidad10;Nubosidad11;Nubosidad12;Nubosidad13;Nubosidad14;Nubosidad15;Nubosidad16;Nubosidad17;Nubosidad18;Nubosidad19;Nubosidad20;Nubosidad21;Nubosidad22;Nubosidad23
11.02.2023;5;5;5;5;5;5;5;4;4;4;4;5;7;7;8;7;7;7;6;7;8;7;7;8;0.7;0.6;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;5;4;4;4;4;17;16;16;16;16;15;15;15;15;15;15;15;14;14;14;14;14;14;14;6;6;6;6;6;6;6;6;6;7;8;9;10;10;10;10;10;10;9;9;9;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;59;100;100;100;96;100;100;100;100;100;58;24;100;100;100;100;100;100;100;100;100;100;100;100
12.02.2023;8;8;9;7;9;10;11;9;9;10;11;11;12;12;12;11;11;10;10;10;10;10;10;11;0.6;0.6;0.6;0.7;0.7;0.7;0.8;0.8;0.8;0.9;0.9;1;1.1;1.1;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.1;1.2;1.2;14;14;14;14;4;4;4;4;4;4;5;5;5;5;5;6;6;6;6;6;6;6;6;6;9;9;9;9;9;9;9;8;7;8;9;9;9;9;9;9;9;9;8;8;8;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;81;91;;;70;100;100;100;100;100;99;;;;;11
13.02.2023;11;11;10;10;10;10;10;11;10;10;10;12;12;13;11;11;11;10;11;11;12;12;12;11;1.2;1.3;1.3;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.1;1.2;1.2;1.2;1.2;1.2;1.2;1.3;1.3;1.3;1.3;1.4;1.4;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;8;8;7;7;8;8;8;8;8;8;9;9;10;10;9;10;10;10;9;9;9;8;8;9;;;;;;;;;;;;;;;;;;;;;;;;;61;88;45;22;22;6;;19;30;27;;11;50;100;100;100;100;100;100;100;100;63;58;88
14.02.2023;12;12;14;14;14;15;16;16;15;14;14;15;16;17;16;17;16;16;15;16;15;15;15;15;1.5;1.5;1.6;1.7;1.7;1.8;1.9;2;2;2.1;2.2;2.3;2.4;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;6;6;6;6;6;6;7;7;7;7;8;8;8;9;9;9;9;9;9;9;9;9;9;9;8;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;;;;;;;;;0.1;;;;;;;;;;;;;;;;82;83;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
15.02.2023;15;14;14;14;14;15;10;8;3;6;10;10;11;13;13;14;15;14;15;15;16;16;18;18;2.4;2.4;2.3;2.3;2.3;2.3;2.3;2.2;2;2;1.9;1.8;1.8;1.7;1.7;1.7;1.7;1.7;1.8;1.8;1.9;1.9;2.2;2.5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;7;7;9;9;9;9;9;10;9;6;6;7;9;9;9;10;10;9;9;9;9;8;8;8;8;9;;;;;;;;;;;;;;;;;;;;0.2;0.4;0.3;0.5;0.3;100;77;59;100;100;100;100;100;100;81;100;100;100;100;99;62;100;100;100;100;100;100;100;100
16.02.2023;18;15;13;12;11;9;7;8;8;7;6;8;8;11;13;15;14;13;14;14;14;15;17;16;2.9;2.8;2.7;2.6;2.5;2.4;2.3;2.3;2.2;2.2;2.1;2;1.9;1.9;1.9;2;2;2;2;2.1;2.1;2.1;2.1;2.2;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;7;7;7;7;10;10;10;10;11;10;10;9;10;10;10;11;12;11;11;11;11;11;12;12;11;11;11;11;0.2;0.1;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;64;100;100;100;100;100;100;100;100;100;100;100
17.02.2023;17;16;15;16;17;15;14;12;10;10;8;7;8;11;12;13;14;15;15;15;15;16;17;17;2.3;2.2;2.1;2.1;2.2;2.2;2.1;2;1.9;1.8;1.7;1.7;1.6;1.6;1.5;1.5;1.5;1.6;1.7;1.7;1.7;1.8;1.9;2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;7;11;11;11;11;11;11;12;12;12;12;12;12;13;12;12;12;11;11;11;11;10;10;10;11;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
18.02.2023;18;18;17;16;15;14;14;12;12;11;10;11;11;12;13;13;12;12;12;13;13;12;12;12;2.2;2.3;2.4;2.3;2.3;2.2;2.2;2.1;2;1.8;1.8;1.7;1.6;1.6;1.6;1.6;1.6;1.6;1.5;1.5;1.4;1.4;1.3;1.3;7;7;7;7;7;7;7;7;8;8;7;7;7;7;7;7;7;7;7;7;7;7;7;13;11;10;11;11;11;11;11;12;11;11;11;12;12;12;12;12;11;11;10;9;9;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;5;19;58;100;100;100
19.02.2023;9;8;5;4;3;3;3;4;3;4;7;9;11;13;14;13;14;14;14;13;14;15;15;15;1.2;1.2;1.1;1.1;1;1;1;0.9;0.9;0.9;0.8;0.8;0.9;1;1.1;1.2;1.3;1.4;1.4;1.3;1.3;1.3;1.3;1.3;13;13;13;13;13;12;12;12;12;12;12;12;12;12;12;5;5;5;5;5;5;5;5;5;9;8;7;7;6;6;6;6;6;7;8;9;10;10;11;11;11;11;9;9;10;11;11;10;;;;;;;;;;;;;;;;;;;;;;;;;86;73;12;23;15;60;66;100;100;16;100;100;61;6;50;8;16;100;6;94;100;100;100;100
20.02.2023;15;14;14;13;13;13;13;13;12;12;12;12;12;12;12;12;11;11;11;10;10;11;11;11;1.4;1.4;1.4;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.2;1.2;1.2;1.2;1.1;1.2;1.2;1.2;1.2;1.2;1.1;1;0.9;0.9;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;11;11;9;9;9;9;9;9;9;10;10;11;12;12;12;12;12;11;10;10;10;10;10;10;;;;;;;;;;;;;;;;;;;;;;;;;93;100;7;78;38;52;6;32;12;52;6;6;35;26;6;6;6;7;100;100;100;100;100;100
21.02.2023;9;7;6;6;6;7;7;8;9;9;10;12;13;13;13;12;11;12;11;13;13;15;13;10;0.8;0.8;0.7;0.7;0.7;0.7;0.6;0.6;0.6;0.6;0.7;0.7;0.8;0.9;0.9;0.9;0.9;0.9;0.8;0.9;0.9;1;1.1;1.1;5;4;4;4;4;4;4;10;10;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;8;8;8;9;9;9;9;9;9;9;9;10;9;9;9;9;9;9;9;9;9;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;22;9;41;92;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
22.02.2023;15;13;14;14;14;15;15;11;9;11;13;14;13;14;13;13;13;13;11;14;15;16;17;16;1.1;1;1.1;1.1;1.1;1.1;1.1;1;1;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.8;0.8;0.9;0.9;1;1;5;5;5;5;5;6;6;6;6;7;7;9;10;10;11;11;11;4;4;3;3;4;4;4;8;7;6;6;5;5;5;4;3;4;5;6;7;7;7;7;7;6;5;5;5;5;4;4;;;;;;;;;;;;;;0.1;0.1;;;;;;;;;;100;100;94;100;100;100;100;14;12;7;;7;6;11;15;11;6;88;13;10;90;23;6;6
23.02.2023;16;15;16;16;16;15;14;12;11;11;12;12;13;13;13;12;9;8;6;5;5;5;7;7;0.9;1;1;1;1;1;1;0.9;0.8;0.8;0.7;0.7;0.7;0.6;0.6;0.6;0.6;0.5;0.5;0.4;0.4;0.4;0.4;0.4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;2;3;4;6;7;8;8;8;8;7;6;5;5;6;5;5;;;;;;;;;;;;;;;;;;;;;;;;;6;6;7;6;5;13;13;5;;7;8;;;;14;17;100;100;100;100;100;100;100;100
24.02.2023;7;7;7;8;9;10;10;10;11;11;11;10;10;11;11;11;10;9;8;10;12;10;9;8;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.6;4;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;5;5;5;5;6;6;5;6;6;7;8;8;9;9;9;9;9;9;8;7;6;5;4;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;71;6;5;5;5
25.02.2023;8;8;7;7;7;8;8;9;8;10;12;13;13;12;12;13;12;11;12;11;10;11;9;8;0.6;0.6;0.6;0.5;0.5;0.5;0.5;0.6;0.6;0.8;0.9;1;0.9;0.9;0.9;1;1;1;1;-;-;-;-;-;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;-;-;-;-;-;4;3;3;3;3;3;2;3;4;5;6;7;6;6;6;6;6;6;5;5;5;5;4;2;;;;;;;;;;;;;;;;;;;;;;;;;6;6;10;13;21;55;26;74;100;100;7;7;100;100;100;100;100;100;100;100;100;100;16;15
26.02.2023;9;9;8;8;7;8;7;7;7;8;11;13;12;12;12;12;11;11;10;9;9;9;8;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;5;5;5;2;2;1;1;1;3;6;7;7;7;7;7;7;6;6;6;6;6;5;4;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;7;11;12;12;27;26;16;20;100;58;77;82;62;69;100;100;100;100;8;7
27.02.2023;7;7;7;7;7;7;7;7;7;7;11;12;11;11;10;9;8;9;9;7;6;6;6;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;3;3;3;3;2;2;2;4;7;7;7;7;7;7;7;7;6;6;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;6;6;6;6;6;6;6;6;6;17;36;100;100;100;100;99;99;99;100;100;100;100;100;100
28.02.2023;5;5;5;6;6;6;6;7;7;7;8;9;10;10;9;9;9;9;8;8;9;9;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;6;7;8;8;8;8;8;7;6;6;6;6;6;5;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
01.03.2023;10;10;10;9;9;9;9;9;9;10;11;11;11;12;12;12;12;11;10;10;9;9;9;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;6;6;6;7;7;7;7;7;7;7;7;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
02.03.2023;10;10;10;10;10;9;8;8;8;9;8;9;7;7;7;6;5;5;5;5;6;7;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6;6;6;5;5;3;3;3;5;7;7;7;8;7;7;7;7;6;6;6;5;3;2;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;96;69;65;34;50;100;100;88;100;100;100;100;100;51;94;100;100;100;7;6
03.03.2023;6;7;7;7;7;7;6;7;7;7;8;8;8;7;7;6;6;6;6;7;7;7;7;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;1;1;1;1;1;1;3;6;7;7;7;7;7;7;6;6;6;6;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;6;6;6;7;7;6;7;7;7;7;27;56;100;100;100;100;100;100;100;100;100;68;7;7
04.03.2023;6;7;6;5;5;5;6;6;7;7;7;7;7;6;6;5;3;3;4;4;4;4;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;3;3;4;4;4;5;6;6;6;7;6;6;6;6;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;7;8;8;89;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
05.03.2023;3;4;4;5;5;4;5;5;4;4;4;5;5;6;6;7;7;7;6;5;6;6;7;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4;4;4;4;4;3;3;3;4;5;6;7;7;8;8;7;7;6;6;6;6;5;5;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;90;100;100;100;30;100;100;100;100;100
06.03.2023;6;6;6;6;5;5;5;5;6;7;7;8;8;8;8;9;8;10;10;7;6;8;10;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;4;4;3;4;4;4;4;4;6;7;8;9;9;9;9;9;8;7;6;6;6;4;4;;;;;;;;;;;;;;;;;;0.1;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;98;100;100;100;100;100;100;100;100;100
07.03.2023;5;6;7;8;9;12;7;8;8;9;10;9;9;7;7;6;7;8;10;10;10;12;13;13;-;-;-;-;-;-;-;-;-;-;-;-;0.7;0.7;0.7;0.7;0.7;0.8;0.8;0.9;0.9;1;1.1;1.2;-;-;-;-;-;-;-;-;-;-;-;-;15;15;15;15;15;14;14;14;14;14;14;14;5;4;3;2;1;0;1;1;1;2;3;4;5;5;6;6;6;5;3;3;3;3;3;4;0.1;0.1;0.2;0.5;0.6;0.4;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;23;23;100;100;100;100;100;100;100
08.03.2023;15;16;16;17;17;18;17;17;17;18;19;19;19;19;19;17;15;14;13;14;13;11;10;11;1.4;1.4;1.5;1.6;1.7;1.8;1.8;1.8;1.9;2;2.1;2.2;2.2;2.3;2.5;2.5;2.4;2.3;2.1;2.1;2.1;2.1;2;2;5;5;5;5;6;6;6;6;6;6;7;7;7;7;7;7;7;10;10;10;10;10;10;10;4;4;3;3;3;3;4;3;3;4;4;5;5;5;4;3;2;2;3;3;3;3;3;3;;;0.1;;;;;;;;;;;;;0.1;0.5;0.5;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
09.03.2023;10;10;11;12;15;13;13;15;14;10;11;12;16;16;13;12;11;12;11;11;12;19;22;24;2.1;2.1;2.2;2.2;2.2;2.3;2.3;2.3;2.3;2.4;2.5;2.6;2.5;2.5;2.5;2.6;2.6;2.6;2.7;2.8;2.8;2.9;3.1;3.4;10;10;10;10;10;10;11;11;11;10;10;10;10;10;10;10;11;11;11;11;11;15;15;15;3;3;3;4;3;4;4;4;5;5;5;5;4;4;5;5;6;6;6;5;4;3;3;2;;;;;0.4;0.3;0.3;0.1;;;;;0.2;0.2;;0.3;;;;;;;;0.3;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
10.03.2023;21;25;24;21;19;17;16;14;11;10;9;6;4;1;3;2;2;6;9;8;8;8;9;8;3.3;3.2;3.1;3;2.8;2.7;2.5;2.4;2.2;2.1;1.9;1.8;1.7;1.7;1.6;1.6;1.5;1.5;1.6;1.5;1.5;1.5;1.5;1.5;15;15;15;14;14;14;14;13;13;13;13;13;13;12;12;12;12;12;12;12;12;12;12;12;2;2;1;1;1;1;1;0;1;2;2;3;3;4;4;4;4;4;4;3;3;3;3;4;0.4;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;59;100;100;100;100;100;100;100;100;100;100;100;100;99;100;100
11.03.2023;8;10;11;11;12;14;15;13;14;14;14;14;11;6;9;8;10;12;14;13;12;12;11;11;1.5;1.4;1.4;1.4;1.4;1.5;1.6;1.7;1.8;2;2.1;2.2;2.3;2.3;2.2;2.2;2.2;2.3;2.3;2.4;2.4;2.4;2.3;2.3;12;11;11;11;11;11;11;11;6;7;11;11;11;11;11;11;11;11;11;11;11;11;11;11;5;4;4;4;4;4;5;5;6;6;7;7;8;9;10;11;11;12;11;11;10;10;10;9;;0.1;0.1;0.1;0.2;0.2;0.1;0.1;0.1;0.1;0.1;;;;;;;0.1;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;97;91;90;100;100;100;94;29;100;100
12.03.2023;9;10;10;9;10;9;9;10;10;12;13;16;16;14;15;14;13;16;17;20;22;21;21;24;2.2;2.1;2.1;2.1;2;2;2;2;1.9;1.9;1.8;1.9;2;2;2;2;2;2.1;2.2;2.5;2.8;2.9;3.1;3.4;11;12;12;12;12;12;13;13;15;15;15;15;15;15;15;15;14;7;6;7;7;8;8;8;8;7;7;7;7;7;7;7;8;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;;;;;;;;;;;;;;;;0.3;0.7;0.3;0.3;;;1.4;0.1;10;15;22;100;57;73;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
13.03.2023;26;25;24;26;27;26;24;27;25;24;29;25;23;22;20;17;14;17;17;17;14;13;13;13;3.7;3.8;3.9;4.1;4.3;4.5;4.6;5;5.4;5.7;5.8;5.6;5.1;4.8;4.5;4.3;4.1;3.9;3.8;3.7;3.6;3.4;3.3;3.2;9;9;9;9;10;10;10;11;11;12;12;13;13;13;13;13;13;13;13;14;14;14;14;14;11;11;11;10;10;9;9;9;10;10;9;10;10;10;10;10;10;7;7;6;5;5;4;3;0.1;;;0.1;;0.3;0.2;0.1;0.1;0.3;0.6;0.1;;;;;;0.4;;;;;;;100;100;100;100;90;100;100;100;100;100;100;100;100;93;100;100;100;100;100;13;34;20;100;16
14.03.2023;12;11;10;11;13;16;14;11;9;8;9;9;12;14;15;16;13;14;11;9;7;6;4;4;3.1;3;2.9;2.9;2.7;2.6;2.6;2.5;2.3;2.2;2;1.9;1.9;1.9;1.8;1.8;1.8;1.8;1.7;1.7;1.6;1.6;1.5;1.5;14;14;14;14;14;13;13;13;13;13;13;13;12;12;12;12;12;12;12;12;12;12;12;11;4;4;3;3;3;2;2;2;2;4;6;6;7;8;8;8;8;7;6;4;4;3;3;3;;;;;;;;;;;;;;;0.1;0.1;;;;;;;;;10;9;9;77;45;11;6;7;11;71;83;100;100;92;100;100;16;26;63;100;89;100;100;100
15.03.2023;2;1;1;3;4;6;8;9;10;12;15;17;16;17;14;13;15;17;16;18;17;17;17;18;1.4;1.4;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.4;1.6;1.9;2;1.9;1.9;1.9;2;2.1;2.2;2.3;2.4;2.5;2.6;11;11;11;11;11;11;11;11;11;11;11;11;6;6;6;6;6;6;7;7;7;7;7;8;3;3;3;4;5;6;6;6;6;6;7;7;8;9;9;9;9;9;10;10;10;10;10;10;;;;;;;;0.1;0.2;0.3;0.4;0.4;0.6;0.6;0.1;;0.1;0.1;0.6;0.7;0.7;0.5;0.2;0.2;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
16.03.2023;18;18;19;19;19;20;22;21;18;17;16;14;13;14;14;14;12;11;12;11;11;12;13;13;2.5;2.5;2.6;2.6;2.7;2.8;3;3.1;3.1;3;3;2.9;2.9;2.8;2.8;2.7;2.6;2.6;2.5;2.4;2.4;2.4;2.3;2.3;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;9;11;11;11;11;11;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;11;11;10;10;9;9;9;9;9;0.1;;;;0.1;0.6;0.1;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;;31;57;62;76;84
17.03.2023;12;11;9;11;13;15;15;13;13;11;10;13;12;12;11;10;10;7;7;6;5;5;5;4;2.3;2.3;2.3;2.3;2.3;2.3;2.4;2.4;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.4;2.4;2.3;2.2;2.2;2.1;2;2;11;11;11;11;11;11;11;11;11;11;11;12;12;12;12;12;12;11;11;11;11;11;11;11;9;9;9;9;9;10;9;9;10;9;10;10;10;10;10;10;10;10;10;9;9;9;9;9;;;;0.1;;;0.1;;0.1;0.6;0.3;0.3;0.1;;;;;;;;;;;;100;100;100;53;99;100;100;100;100;100;100;100;100;100;100;100;100;100;98;98;100;100;94;65
18.03.2023;4;4;3;3;2;4;3;2;2;3;4;5;14;15;16;15;15;13;11;10;9;7;9;9;1.9;1.9;1.9;1.8;1.8;1.8;1.8;1.7;1.7;1.6;1.6;1.6;1.5;1.5;1.5;1.5;1.4;1.4;1.3;1.3;1.2;1.2;1.2;1.1;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;10;10;10;10;9;9;9;9;9;10;10;10;10;11;10;10;10;8;10;10;9;9;8;7;6;5;4;4;;;;;;;;;;;;;0.1;;;;;;;;;;;;91;100;100;100;100;100;100;100;100;100;100;100;100;100;100;50;61;41;7;11;100;80;100;100
19.03.2023;9;8;7;6;5;5;4;3;2;4;7;10;12;14;12;13;14;14;16;17;17;16;15;15;1.1;1.1;1;1;0.9;0.9;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.9;0.9;1;1;1.1;1.4;1.6;1.6;1.6;1.6;1.6;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;9;5;5;6;6;6;6;4;4;3;3;2;3;3;3;5;6;7;7;8;8;7;7;8;8;9;9;10;10;10;10;;;;;;;;;;;;;;0.1;0.2;;;;;;;;;;100;10;18;20;54;56;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
20.03.2023;15;14;14;13;14;15;14;15;13;13;12;13;12;11;12;12;12;15;15;16;12;12;14;17;1.6;1.5;1.5;1.5;1.5;1.5;1.4;1.4;1.3;1.3;1.3;1.3;1.4;1.4;1.4;1.4;1.5;1.5;1.7;1.9;1.9;1.8;1.9;2.1;6;6;6;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;7;7;7;7;10;10;10;10;10;10;10;10;10;10;10;11;10;10;10;10;10;10;10;10;10;10;10;10;;;;;;;;;;;;;;;;;0.1;0.2;0.3;0.3;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;92;100
21.03.2023;15;17;14;13;12;11;15;13;12;14;14;16;18;20;19;20;23;25;27;27;28;29;30;24;2.1;2.2;2.1;2.1;2.1;2.1;2.4;2.3;2.3;2.3;2.2;2.2;2.2;2.3;2.4;2.5;2.7;3;3.5;3.9;4.1;4.3;4.6;4.5;7;7;7;7;7;8;8;8;9;9;9;9;10;10;10;7;7;8;8;9;9;9;10;10;10;10;10;9;10;9;9;8;9;10;10;10;10;10;10;10;10;10;10;10;10;10;11;11;;0.1;;;;;;;;;;;;;;;0.1;0.4;0.5;0.7;0.5;0.5;0.3;;100;100;100;100;100;64;26;100;36;86;100;100;100;100;100;100;100;100;100;100;100;100;100;100
22.03.2023;22;21;19;17;16;16;14;14;16;20;18;19;19;19;20;21;23;23;24;22;21;19;18;21;4.3;4;3.7;3.5;3.3;3.2;3;2.9;2.8;2.8;2.7;2.7;2.7;2.7;2.8;2.9;3.1;3.3;3.6;3.6;3.6;3.5;3.4;3.4;10;10;10;11;11;11;11;11;11;11;11;11;11;11;11;8;8;8;9;9;10;10;10;10;11;10;8;6;6;6;6;7;8;8;8;9;10;10;10;10;9;9;9;8;8;7;7;7;;;;;;;;;;0.1;0.1;0.2;;;;;0.1;0.3;0.2;;;;;;100;100;12;;;;;7;9;100;100;100;92;100;100;100;100;100;100;100;30;;;8
23.03.2023;21;22;25;27;27;24;22;21;20;21;22;22;21;22;21;21;22;23;25;24;21;19;19;19;3.4;3.5;3.6;3.9;4;4;3.9;3.8;3.7;3.6;3.6;3.6;3.6;3.6;3.5;3.4;3.4;3.5;3.6;3.8;3.7;3.5;3.4;3.3;10;10;9;9;9;10;10;10;10;10;10;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;9;8;8;8;9;9;9;10;10;10;10;10;10;9;9;8;8;7;7;7;;;0.1;0.2;0.1;0.1;0.1;;;;0.1;0.1;0.1;0.1;;;;0.1;;;;;;;9;55;41;100;100;100;100;100;100;100;100;100;100;100;61;34;15;100;100;30;38;;19;13
